Symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,CIK,Founded
MMM,3M Company,reports,Industrials,Industrials,"St. Paul, Minnesota",,66740,1902
ABT,Abbott Laboratories,reports,Health Care,Health Care,"North Chicago, Illinois",1964-03-31,1800,1888
ABBV,AbbVie Inc.,reports,Health Care,Health Care,"North Chicago, Illinois",2012-12-31,1551152,2013 (1888)
ABMD,ABIOMED Inc,reports,Health Care,Health Care,"Danvers, Massachusetts",2018-05-31,815094,1981
ACN,Accenture plc,reports,Information Technology,Information Technology,"Dublin, Ireland",2011-07-06,1467373,1989
ATVI,Activision Blizzard,reports,Communication Services,Communication Services,"Santa Monica, California",2015-08-31,718877,2008
ADBE,Adobe Systems Inc,reports,Information Technology,Information Technology,"San Jose, California",1997-05-05,796343,1982
AMD,Advanced Micro Devices Inc,reports,Information Technology,Information Technology,"Sunnyvale, California",2017-03-20,2488,1969
AAP,Advance Auto Parts,reports,Consumer Discretionary,Consumer Discretionary,"Raleigh, North Carolina",2015-07-09,1158449,1932
AES,AES Corp,reports,Utilities,Utilities,"Arlington, Virginia",1998-10-02,874761,1981
AMG,Affiliated Managers Group Inc,reports,Financials,Financials,"West Palm Beach, Florida",2014-07-01,1004434,1993
AFL,AFLAC Inc,reports,Financials,Financials,"Columbus, Georgia",1999-05-28,4977,1955
A,Agilent Technologies Inc,reports,Health Care,Health Care,"Santa Clara, California",2000-06-05,1090872,1999
APD,Air Products & Chemicals Inc,reports,Materials,Materials,"Allentown, Pennsylvania",1985-04-30,2969,1940
AKAM,Akamai Technologies Inc,reports,Information Technology,Information Technology,"Cambridge, Massachusetts",2007-07-12,1086222,1998
ALK,Alaska Air Group Inc,reports,Industrials,Industrials,"Seattle, Washington",2016-05-13,766421,1985
ALB,Albemarle Corp,reports,Materials,Materials,"Charlotte, North Carolina",2016-07-01,915913,1994
ARE,Alexandria Real Estate Equities,reports,Real Estate,Real Estate,"Pasadena, California",2017-03-20,1035443,1994
ALXN,Alexion Pharmaceuticals,reports,Health Care,Health Care,"Boston, Massachusetts",2012-05-25,899866,1992
ALGN,Align Technology,reports,Health Care,Health Care,"San Jose, California",2017-06-19,1097149,1997
ALLE,Allegion,reports,Industrials,Industrials,"Dublin, Ireland",2013-12-02,1579241,1908
AGN,"Allergan, Plc",reports,Health Care,Health Care,"Dublin, Ireland",1999-04-12,1578845,1983
ADS,Alliance Data Systems,reports,Information Technology,Information Technology,"Plano, Texas",2013-12-23,1101215,1996
LNT,Alliant Energy Corp,reports,Utilities,Utilities,"Madison, Wisconsin",2016-07-01,352541,1917
ALL,Allstate Corp,reports,Financials,Financials,"Northfield Township, Illinois",1995-07-13,899051,1931
GOOGL,Alphabet Inc Class A,reports,Communication Services,Communication Services,"Mountain View, California",2014-04-03,1652044,1998
GOOG,Alphabet Inc Class C,reports,Communication Services,Communication Services,"Mountain View, California",2006-04-03,1652044,1998
MO,Altria Group Inc,reports,Consumer Staples,Consumer Staples,"Richmond, Virginia",,764180,1985
AMZN,Amazon.com Inc.,reports,Consumer Discretionary,Consumer Discretionary,"Seattle, Washington",2005-11-18,1018724,1994
AMCR,Amcor plc,reports,Materials,Materials,"Warmley, Bristol, United Kingdom",2019-06-07,1748790,
AEE,Ameren Corp,reports,Utilities,Utilities,"St. Louis, Missouri",1991-09-19,1002910,1902
AAL,American Airlines Group,reports,Industrials,Industrials,"Fort Worth, Texas",2015-03-23,6201,1934
AEP,American Electric Power,reports,Utilities,Utilities,"Columbus, Ohio",,4904,1906
AXP,American Express Co,reports,Financials,Financials,"New York, New York",1976-06-30,4962,1850
AIG,American International Group,reports,Financials,Financials,"New York, New York",1980-03-31,5272,1919
AMT,American Tower Corp.,reports,Real Estate,Real Estate,"Boston, Massachusetts",2007-11-19,1053507,1995
AWK,American Water Works Company Inc,reports,Utilities,Utilities,"Camden, New Jersey",2016-03-04,1410636,1886
AMP,Ameriprise Financial,reports,Financials,Financials,"Minneapolis, Minnesota",2005-10-03,820027,1894
ABC,AmerisourceBergen Corp,reports,Health Care,Health Care,"Chesterbrook, Pennsylvania",2001-08-30,1140859,1985
AME,AMETEK Inc.,reports,Industrials,Industrials,"Berwyn, Pennsylvania",2013-09-23,1037868,1930
AMGN,Amgen Inc.,reports,Health Care,Health Care,"Thousand Oaks, California",1992-01-02,318154,1980
APH,Amphenol Corp,reports,Information Technology,Information Technology,"Wallingford, Connecticut",2008-09-30,820313,1932
ADI,"Analog Devices, Inc.",reports,Information Technology,Information Technology,"Norwood, Massachusetts",1999-10-12,6281,1965
ANSS,ANSYS,reports,Information Technology,Information Technology,"Canonsburg, Pennsylvania",2017-06-19,1013462,1969
ANTM,Anthem,reports,Health Care,Health Care,"Indianapolis, Indiana",2002-07-25,1156039,2014 (1940s)
AON,Aon plc,reports,Financials,Financials,"London, United Kingdom",1996-04-23,315293,1982 (1919)
